(0.09, -0.17, 0.32)(0.07, -0.15, 0.37)(0.10, -0.15, 0.34)(0.13, -0.13, 0.36)(0.13, -0.11, 0.39)(0.13, -0.10, 0.40)(0.09, -0.16, 0.34)(0.09, -0.13, 0.40)(0.09, -0.11, 0.43)(0.08, -0.10, 0.45)(0.08, -0.08, 0.46)(0.08, -0.16, 0.34)(0.07, -0.14, 0.40)(0.06, -0.12, 0.44)(0.05, -0.10, 0.46)(0.05, -0.09, 0.47)(0.07, -0.16, 0.34)(0.05, -0.14, 0.39)(0.04, -0.13, 0.43)(0.04, -0.11, 0.45)(0.03, -0.10, 0.46)(0.06, -0.17, 0.33)(0.04, -0.15, 0.38)(0.03, -0.14, 0.41)(0.02, -0.13, 0.42)(0.01, -0.12, 0.43)
(0.07, -0.15, 0.30)(0.05, -0.12, 0.34)(0.08, -0.13, 0.31)(0.11, -0.11, 0.33)(0.11, -0.09, 0.36)(0.12, -0.08, 0.37)(0.07, -0.13, 0.31)(0.07, -0.10, 0.37)(0.07, -0.08, 0.40)(0.06, -0.06, 0.42)(0.06, -0.05, 0.43)(0.06, -0.14, 0.31)(0.05, -0.11, 0.37)(0.04, -0.09, 0.41)(0.03, -0.07, 0.43)(0.03, -0.06, 0.44)(0.05, -0.14, 0.31)(0.03, -0.11, 0.36)(0.02, -0.09, 0.40)(0.01, -0.08, 0.42)(0.01, -0.07, 0.43)(0.04, -0.14, 0.31)(0.01, -0.12, 0.35)(0.00, -0.11, 0.37)(-0.01, -0.10, 0.39)(-0.02, -0.09, 0.39)
(0.06, -0.14, 0.26)(0.04, -0.11, 0.29)(0.08, -0.12, 0.27)(0.10, -0.10, 0.30)(0.11, -0.07, 0.32)(0.11, -0.06, 0.33)(0.07, -0.12, 0.27)(0.06, -0.08, 0.32)(0.06, -0.04, 0.33)(0.06, -0.01, 0.33)(0.05, 0.00, 0.33)(0.06, -0.12, 0.27)(0.04, -0.08, 0.31)(0.03, -0.03, 0.32)(0.03, -0.01, 0.32)(0.03, 0.01, 0.32)(0.05, -0.13, 0.27)(0.02, -0.09, 0.30)(0.01, -0.05, 0.31)(0.01, -0.02, 0.31)(0.01, -0.01, 0.31)(0.04, -0.13, 0.26)(0.01, -0.09, 0.29)(0.00, -0.07, 0.30)(-0.01, -0.05, 0.30)(-0.01, -0.03, 0.30)
(0.07, -0.14, 0.21)(0.05, -0.10, 0.23)(0.09, -0.12, 0.22)(0.11, -0.09, 0.24)(0.11, -0.06, 0.25)(0.11, -0.04, 0.26)(0.08, -0.12, 0.22)(0.07, -0.07, 0.25)(0.06, -0.03, 0.23)(0.06, -0.02, 0.21)(0.06, -0.02, 0.20)(0.07, -0.12, 0.22)(0.05, -0.08, 0.25)(0.04, -0.04, 0.22)(0.05, -0.02, 0.20)(0.05, -0.02, 0.19)(0.06, -0.13, 0.22)(0.03, -0.09, 0.24)(0.03, -0.05, 0.22)(0.04, -0.04, 0.20)(0.04, -0.03, 0.18)(0.05, -0.13, 0.21)(0.02, -0.09, 0.23)(0.01, -0.07, 0.22)(0.02, -0.06, 0.20)(0.03, -0.05, 0.19)
(0.07, -0.15, 0.20)(0.05, -0.11, 0.22)(0.08, -0.12, 0.20)(0.10, -0.09, 0.22)(0.10, -0.06, 0.24)(0.11, -0.04, 0.24)(0.07, -0.13, 0.21)(0.06, -0.08, 0.24)(0.06, -0.04, 0.23)(0.05, -0.03, 0.21)(0.05, -0.02, 0.20)(0.06, -0.13, 0.21)(0.04, -0.09, 0.24)(0.04, -0.04, 0.22)(0.04, -0.03, 0.20)(0.04, -0.02, 0.18)(0.05, -0.14, 0.20)(0.03, -0.09, 0.23)(0.02, -0.05, 0.21)(0.03, -0.04, 0.20)(0.03, -0.04, 0.18)(0.05, -0.14, 0.20)(0.01, -0.10, 0.22)(0.01, -0.07, 0.21)(0.01, -0.06, 0.20)(0.02, -0.06, 0.19)
(0.06, -0.15, 0.21)(0.04, -0.12, 0.24)(0.07, -0.13, 0.21)(0.10, -0.10, 0.23)(0.10, -0.07, 0.25)(0.10, -0.05, 0.26)(0.06, -0.13, 0.22)(0.06, -0.09, 0.26)(0.05, -0.05, 0.27)(0.04, -0.03, 0.26)(0.04, -0.01, 0.25)(0.05, -0.14, 0.22)(0.04, -0.10, 0.26)(0.03, -0.05, 0.27)(0.02, -0.02, 0.27)(0.02, -0.01, 0.27)(0.04, -0.14, 0.21)(0.02, -0.10, 0.25)(0.01, -0.06, 0.27)(0.00, -0.04, 0.27)(0.00, -0.02, 0.26)(0.04, -0.14, 0.21)(0.01, -0.11, 0.24)(0.00, -0.08, 0.25)(-0.01, -0.06, 0.25)(-0.01, -0.05, 0.25)
(0.06, -0.15, 0.21)(0.04, -0.12, 0.25)(0.07, -0.12, 0.22)(0.10, -0.09, 0.24)(0.10, -0.07, 0.26)(0.10, -0.05, 0.27)(0.06, -0.13, 0.22)(0.06, -0.09, 0.27)(0.05, -0.05, 0.30)(0.05, -0.03, 0.31)(0.04, -0.02, 0.32)(0.05, -0.13, 0.22)(0.04, -0.10, 0.27)(0.03, -0.06, 0.31)(0.03, -0.05, 0.33)(0.02, -0.03, 0.34)(0.04, -0.14, 0.22)(0.02, -0.10, 0.27)(0.01, -0.07, 0.30)(0.01, -0.06, 0.32)(0.00, -0.04, 0.33)(0.04, -0.14, 0.22)(0.01, -0.11, 0.26)(0.00, -0.09, 0.28)(-0.01, -0.08, 0.29)(-0.02, -0.06, 0.30)
(0.06, -0.15, 0.22)(0.04, -0.11, 0.25)(0.07, -0.12, 0.23)(0.10, -0.09, 0.25)(0.10, -0.07, 0.27)(0.10, -0.05, 0.27)(0.06, -0.13, 0.23)(0.06, -0.08, 0.28)(0.05, -0.05, 0.30)(0.04, -0.02, 0.31)(0.04, -0.01, 0.31)(0.05, -0.13, 0.23)(0.04, -0.09, 0.28)(0.02, -0.05, 0.31)(0.02, -0.03, 0.32)(0.01, -0.01, 0.33)(0.04, -0.14, 0.23)(0.02, -0.10, 0.27)(0.00, -0.06, 0.30)(0.00, -0.04, 0.31)(-0.01, -0.03, 0.32)(0.03, -0.14, 0.22)(0.00, -0.10, 0.26)(-0.01, -0.08, 0.29)(-0.02, -0.07, 0.29)(-0.03, -0.06, 0.30)
(0.06, -0.15, 0.21)(0.03, -0.11, 0.24)(0.07, -0.13, 0.22)(0.09, -0.09, 0.24)(0.09, -0.06, 0.25)(0.09, -0.05, 0.26)(0.06, -0.13, 0.22)(0.05, -0.08, 0.26)(0.04, -0.05, 0.24)(0.04, -0.04, 0.22)(0.04, -0.03, 0.20)(0.05, -0.13, 0.22)(0.03, -0.09, 0.25)(0.02, -0.05, 0.23)(0.03, -0.04, 0.21)(0.03, -0.04, 0.19)(0.04, -0.14, 0.22)(0.01, -0.10, 0.24)(0.01, -0.06, 0.22)(0.01, -0.05, 0.20)(0.02, -0.04, 0.19)(0.03, -0.14, 0.21)(0.00, -0.10, 0.23)(-0.01, -0.08, 0.22)(0.00, -0.07, 0.21)(0.01, -0.07, 0.20)
(0.06, -0.15, 0.21)(0.03, -0.12, 0.23)(0.07, -0.13, 0.22)(0.09, -0.09, 0.24)(0.09, -0.07, 0.25)(0.09, -0.05, 0.26)(0.06, -0.13, 0.22)(0.05, -0.08, 0.26)(0.04, -0.05, 0.25)(0.03, -0.03, 0.23)(0.03, -0.03, 0.21)(0.05, -0.13, 0.21)(0.03, -0.09, 0.25)(0.02, -0.05, 0.24)(0.02, -0.03, 0.22)(0.02, -0.02, 0.20)(0.04, -0.14, 0.21)(0.01, -0.10, 0.24)(0.00, -0.06, 0.23)(0.01, -0.04, 0.21)(0.01, -0.03, 0.20)(0.03, -0.14, 0.21)(0.00, -0.10, 0.23)(-0.01, -0.08, 0.23)(0.00, -0.06, 0.21)(0.00, -0.06, 0.20)
