(0.04, -0.12, 0.34)(0.04, -0.08, 0.36)(0.02, -0.11, 0.35)(-0.02, -0.09, 0.36)(-0.04, -0.07, 0.37)(-0.05, -0.06, 0.38)(0.03, -0.11, 0.35)(0.01, -0.05, 0.37)(0.01, -0.05, 0.40)(0.01, -0.07, 0.41)(0.01, -0.09, 0.40)(0.04, -0.11, 0.35)(0.03, -0.05, 0.37)(0.03, -0.04, 0.41)(0.02, -0.07, 0.42)(0.02, -0.08, 0.41)(0.05, -0.11, 0.35)(0.05, -0.06, 0.37)(0.05, -0.05, 0.41)(0.04, -0.07, 0.42)(0.04, -0.08, 0.41)(0.06, -0.11, 0.35)(0.07, -0.06, 0.38)(0.07, -0.05, 0.40)(0.06, -0.07, 0.41)(0.05, -0.08, 0.40)
(0.04, -0.12, 0.34)(0.04, -0.08, 0.36)(0.02, -0.11, 0.35)(-0.02, -0.09, 0.36)(-0.04, -0.07, 0.37)(-0.05, -0.06, 0.38)(0.03, -0.11, 0.35)(0.01, -0.05, 0.37)(0.01, -0.05, 0.40)(0.01, -0.07, 0.41)(0.01, -0.09, 0.40)(0.04, -0.11, 0.35)(0.03, -0.05, 0.37)(0.03, -0.04, 0.41)(0.02, -0.07, 0.42)(0.02, -0.08, 0.41)(0.05, -0.11, 0.35)(0.05, -0.06, 0.37)(0.05, -0.05, 0.41)(0.04, -0.07, 0.42)(0.04, -0.08, 0.41)(0.06, -0.11, 0.35)(0.07, -0.06, 0.38)(0.07, -0.05, 0.40)(0.06, -0.07, 0.41)(0.05, -0.08, 0.40)
(-0.03, -0.14, 0.37)(-0.04, -0.10, 0.40)(-0.06, -0.13, 0.39)(-0.10, -0.12, 0.40)(-0.13, -0.10, 0.41)(-0.14, -0.09, 0.41)(-0.05, -0.13, 0.39)(-0.08, -0.08, 0.42)(-0.08, -0.09, 0.46)(-0.07, -0.11, 0.46)(-0.07, -0.13, 0.46)(-0.04, -0.12, 0.39)(-0.06, -0.08, 0.42)(-0.06, -0.09, 0.46)(-0.06, -0.12, 0.46)(-0.06, -0.14, 0.46)(-0.03, -0.12, 0.39)(-0.04, -0.08, 0.42)(-0.04, -0.09, 0.46)(-0.04, -0.11, 0.46)(-0.05, -0.13, 0.45)(-0.02, -0.12, 0.39)(-0.02, -0.08, 0.43)(-0.02, -0.09, 0.45)(-0.02, -0.11, 0.45)(-0.03, -0.12, 0.45)
(-0.08, -0.14, 0.38)(-0.10, -0.11, 0.41)(-0.11, -0.14, 0.39)(-0.15, -0.13, 0.40)(-0.18, -0.12, 0.41)(-0.20, -0.11, 0.41)(-0.10, -0.14, 0.39)(-0.13, -0.10, 0.42)(-0.14, -0.11, 0.46)(-0.13, -0.13, 0.47)(-0.13, -0.14, 0.46)(-0.09, -0.13, 0.39)(-0.11, -0.09, 0.42)(-0.12, -0.11, 0.46)(-0.12, -0.14, 0.46)(-0.11, -0.15, 0.46)(-0.08, -0.13, 0.39)(-0.09, -0.09, 0.43)(-0.10, -0.11, 0.47)(-0.10, -0.13, 0.46)(-0.10, -0.15, 0.45)(-0.07, -0.13, 0.40)(-0.08, -0.10, 0.44)(-0.08, -0.10, 0.46)(-0.09, -0.12, 0.46)(-0.09, -0.13, 0.45)
(-0.04, -0.14, 0.37)(-0.05, -0.11, 0.40)(-0.07, -0.14, 0.38)(-0.11, -0.13, 0.38)(-0.13, -0.11, 0.40)(-0.15, -0.10, 0.40)(-0.06, -0.13, 0.38)(-0.09, -0.09, 0.41)(-0.09, -0.10, 0.44)(-0.09, -0.12, 0.45)(-0.08, -0.14, 0.45)(-0.05, -0.13, 0.38)(-0.07, -0.09, 0.41)(-0.08, -0.10, 0.45)(-0.07, -0.13, 0.45)(-0.07, -0.15, 0.44)(-0.04, -0.13, 0.38)(-0.05, -0.09, 0.41)(-0.06, -0.10, 0.45)(-0.06, -0.13, 0.45)(-0.06, -0.14, 0.44)(-0.03, -0.13, 0.39)(-0.03, -0.09, 0.42)(-0.04, -0.10, 0.45)(-0.04, -0.12, 0.44)(-0.05, -0.13, 0.43)
(0.02, -0.13, 0.37)(0.01, -0.10, 0.40)(-0.01, -0.13, 0.39)(-0.05, -0.11, 0.40)(-0.07, -0.09, 0.41)(-0.09, -0.08, 0.41)(0.00, -0.12, 0.39)(-0.03, -0.08, 0.41)(-0.03, -0.08, 0.45)(-0.02, -0.11, 0.46)(-0.02, -0.12, 0.46)(0.01, -0.12, 0.39)(0.00, -0.07, 0.41)(-0.01, -0.09, 0.45)(-0.01, -0.12, 0.46)(-0.01, -0.13, 0.45)(0.02, -0.12, 0.39)(0.01, -0.08, 0.42)(0.01, -0.09, 0.46)(0.00, -0.11, 0.45)(0.00, -0.13, 0.44)(0.03, -0.12, 0.39)(0.03, -0.08, 0.43)(0.03, -0.09, 0.45)(0.02, -0.11, 0.45)(0.02, -0.12, 0.44)
(0.00, -0.13, 0.38)(-0.01, -0.09, 0.41)(-0.03, -0.12, 0.39)(-0.07, -0.11, 0.40)(-0.09, -0.09, 0.42)(-0.11, -0.08, 0.42)(-0.01, -0.12, 0.39)(-0.05, -0.07, 0.42)(-0.05, -0.08, 0.46)(-0.04, -0.10, 0.46)(-0.04, -0.12, 0.46)(-0.01, -0.12, 0.39)(-0.02, -0.07, 0.42)(-0.03, -0.08, 0.46)(-0.03, -0.11, 0.45)(-0.03, -0.12, 0.44)(0.01, -0.11, 0.39)(0.00, -0.07, 0.42)(-0.01, -0.09, 0.46)(-0.01, -0.11, 0.45)(-0.01, -0.11, 0.43)(0.01, -0.11, 0.40)(0.01, -0.08, 0.43)(0.01, -0.09, 0.45)(0.00, -0.10, 0.44)(0.00, -0.11, 0.43)
(0.00, -0.13, 0.38)(-0.01, -0.09, 0.41)(-0.03, -0.12, 0.39)(-0.07, -0.11, 0.40)(-0.09, -0.09, 0.42)(-0.11, -0.08, 0.42)(-0.01, -0.12, 0.39)(-0.05, -0.07, 0.42)(-0.05, -0.08, 0.46)(-0.04, -0.10, 0.46)(-0.04, -0.12, 0.46)(-0.01, -0.12, 0.39)(-0.02, -0.07, 0.42)(-0.03, -0.08, 0.46)(-0.03, -0.11, 0.45)(-0.03, -0.12, 0.44)(0.01, -0.11, 0.39)(0.00, -0.07, 0.42)(-0.01, -0.09, 0.46)(-0.01, -0.11, 0.45)(-0.01, -0.11, 0.43)(0.01, -0.11, 0.40)(0.01, -0.08, 0.43)(0.01, -0.09, 0.45)(0.00, -0.10, 0.44)(0.00, -0.11, 0.43)
(-0.06, -0.14, 0.38)(-0.08, -0.10, 0.41)(-0.09, -0.13, 0.39)(-0.14, -0.12, 0.39)(-0.16, -0.11, 0.40)(-0.18, -0.10, 0.41)(-0.08, -0.13, 0.39)(-0.12, -0.09, 0.41)(-0.13, -0.10, 0.45)(-0.12, -0.12, 0.46)(-0.11, -0.14, 0.46)(-0.08, -0.13, 0.39)(-0.10, -0.08, 0.41)(-0.11, -0.10, 0.45)(-0.10, -0.13, 0.45)(-0.10, -0.14, 0.44)(-0.06, -0.12, 0.39)(-0.08, -0.08, 0.42)(-0.09, -0.10, 0.46)(-0.09, -0.12, 0.45)(-0.09, -0.14, 0.43)(-0.06, -0.12, 0.40)(-0.07, -0.09, 0.43)(-0.07, -0.10, 0.45)(-0.07, -0.12, 0.45)(-0.08, -0.12, 0.43)
(-0.04, -0.14, 0.37)(-0.06, -0.10, 0.40)(-0.07, -0.13, 0.38)(-0.11, -0.12, 0.39)(-0.14, -0.11, 0.40)(-0.15, -0.10, 0.40)(-0.06, -0.13, 0.39)(-0.10, -0.09, 0.41)(-0.11, -0.10, 0.45)(-0.10, -0.12, 0.46)(-0.10, -0.14, 0.46)(-0.05, -0.13, 0.39)(-0.08, -0.08, 0.41)(-0.09, -0.11, 0.45)(-0.09, -0.13, 0.45)(-0.08, -0.15, 0.45)(-0.04, -0.12, 0.39)(-0.06, -0.09, 0.42)(-0.07, -0.11, 0.46)(-0.07, -0.13, 0.45)(-0.07, -0.14, 0.44)(-0.03, -0.12, 0.40)(-0.05, -0.09, 0.43)(-0.06, -0.10, 0.45)(-0.06, -0.12, 0.45)(-0.06, -0.13, 0.44)
